data_limb,ipsi_limb,contra_limb,height,analysis,variable,statistic,E1,E2,E3,E4,E5,E6,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101
CONTRA,ASYM,SYM,1.7623333333333333,id,ankle_angle_moment,mean,0,28.86888888888889,39.18666666666667,68.74444444444444,77.31555555555556,101,-2.1809097922242,-2.11306384497632,-2.1378708976049396,-2.1829604810291166,-2.2061012825472712,-2.26165040262577,-2.324178969150902,-2.381169017854844,-2.447068779698164,-2.5210381641258195,-2.593897432407571,-2.6931442397351777,-2.8132824686732887,-2.9371320647216943,-3.0523777229383997,-3.1451536517996934,-3.240977194628812,-3.2991348236050166,-3.334989880943059,-3.3683942167693033,-3.381337484247199,-3.39555125903107,-3.391935859649794,-3.4093706567469715,-3.4294776406417187,-3.465781644856675,-3.4815125592053997,-3.495527731762349,-3.4581148846008416,-3.39321026323287,-3.2830802419697287,-3.1124197165485636,-2.8100107680021664,-2.43048459868495,-1.9731211973234526,-1.5188831724037957,-1.099016190759634,-0.7467548531472116,-0.45702896768889234,-0.2296464268495603,-0.1056271222409128,-0.02670799336288356,0.022951501026126333,0.046000946245220616,0.06390193147125943,0.06660884231946046,0.06305075659507796,0.05673947093133278,0.05700683116681398,0.05819232089789665,0.061416168367538965,0.06230998125338756,0.06424848575954702,0.0671860576768164,0.07077318175186445,0.07446690708811746,0.07757637522494214,0.07922341023823588,0.07830683910013816,0.07378843264134745,0.06538935218452945,0.05411121829257015,0.04218102592942438,0.030749317268030835,0.0342151407610375,0.05823624077640844,0.07536497804803283,0.10614085004554494,0.13810009090599268,0.13026637162470805,0.055076928804403395,-0.1346514126819936,-0.2974026958699397,-0.5565375459992916,-0.8827715882418947,-1.2331169040966694,-1.5782500824371726,-1.9346547046142264,-2.2683012940818053,-2.567843028305671,-2.8484582718198928,-3.0829320297281035,-3.274134362302025,-3.439997126363654,-3.599191821381445,-3.732147366804815,-3.848950452609347,-3.964419215914479,-4.084531476889326,-4.233421321120756,-4.407312954531639,-4.619014803398854,-4.891906623665609,-5.230844979668356,-5.628595014333445,-6.053754740655314,-6.463223947675108,-6.779936293983798,-6.899708275130614,-6.749809764272816,-6.240765510613708
CONTRA,ASYM,SYM,0.07535313688291442,id,ankle_angle_moment,sd,0,2.795020136982481,3.3242925014084794,2.1356262479421506,2.247357060329702,0,1.0871814504352209,1.070178310504911,1.0681210418364306,1.0359423841515523,1.0225402928531429,1.0177444467680388,1.0340187873043296,1.0694762605341912,1.1193213947729905,1.173512912411916,1.2128821413238682,1.2144895589814027,1.2351604632898383,1.2964459263248735,1.389159699342909,1.4728492489303269,1.5612744185338054,1.6274638697067338,1.6720609684644425,1.6956424735517779,1.714096336179816,1.7130590379691846,1.6927812886008402,1.6800249407307666,1.6401650176265696,1.6015002920178432,1.5726531005595363,1.561981628527022,1.5373619565059595,1.5468148109723199,1.5651401495702273,1.5942423614943502,1.5530183438812093,1.4702585955875722,1.2843253422309524,1.0617003952666806,0.8534514638836429,0.7265070487205613,0.6572949902404862,0.518095998684472,0.4208908019242805,0.29765666739444957,0.2018434914753641,0.14175749464832396,0.08231170271531933,0.04389422959822774,0.016697243947460028,0.02848570845828685,0.02619531298885684,0.022390615748894976,0.018956781574936753,0.019429541705625896,0.019255427913764302,0.018899790238052935,0.018954411282945068,0.01988978541856923,0.02164818649186905,0.02339272857988151,0.023969276712881255,0.02291993338608372,0.021496729747563517,0.02213657816367873,0.02491772658220744,0.029212125595223768,0.05151144236355308,0.08218425627834791,0.2091240115248353,0.2603174053728709,0.24823165032850725,0.2857507962199878,0.3467292617013234,0.5180712805849331,0.6000381349804624,0.6572498376658029,0.7249204175050188,0.8724051028839612,1.0823760537263012,1.2762687813542841,1.454721674808725,1.581903255381911,1.6637325513376569,1.7032711422014637,1.7124916772517023,1.697951585583924,1.6704260573974103,1.6316953518485928,1.581838766813762,1.5343952543984705,1.4765199616391949,1.4039210438168856,1.3182433458516372,1.228398062843763,1.1327208151738868,1.020273245441403,0.8899344139046692,0.7489194814491149,0.58269495109065,0.4278251074290892,0.3780539548746004,0.500988455401877,0.7037942273538663
CONTRA,ASYM,SYM,1.7623333333333333,id,arm_add_moment,mean,0,28.86888888888889,39.18666666666667,68.74444444444444,77.31555555555556,101,0.2856240959462413,0.3006741152664,0.30053813126474976,0.28818418956618996,0.27001070815156425,0.2520539238191607,0.23784492595414203,0.22831471782467047,0.22261353778349124,0.2193600198002321,0.21746507782376026,0.21635248296698312,0.21586315858207503,0.21618518658139876,0.2177325143945143,0.22071875329393195,0.2250524651062834,0.230607858201222,0.23718385730714645,0.24423219541547034,0.2510587305561765,0.257215146349717,0.2626232966321186,0.26746591616954185,0.271985576165541,0.2766118808853482,0.2822060651857466,0.28985085772500796,0.30023359114425824,0.3132788594742999,0.32842235236450545,0.3456633692606803,0.364763897334937,0.3822337233980403,0.3921545692907667,0.3910908769866031,0.38054016185651507,0.3642781801764653,0.34535724936657075,0.32577372176488123,0.3074100159130674,0.2924707160514872,0.28284900740567276,0.27876731354367446,0.27871302638401846,0.2811109490081721,0.28519566706369953,0.2906977259592763,0.29713541957568324,0.3034296972248053,0.30811346369802617,0.30966704929212724,0.30731217495361024,0.3014403799700325,0.292921374073793,0.28262758228451623,0.2713154419950233,0.25967742336226163,0.2484109914173121,0.23817885366181493,0.22962756175839957,0.22333841302767993,0.21965202032628528,0.21867556051613757,0.2207762943911586,0.22670155136440268,0.23691339427184455,0.2509631294586812,0.26756923236394575,0.28505294829564876,0.3020704641262977,0.31823855558582537,0.33362399859017366,0.3483110205013881,0.3617568025118698,0.37186727773707523,0.3762235985716095,0.37347964889909996,0.363237123144401,0.3463930437335208,0.3252023277182972,0.3021618845588173,0.2793302290898774,0.25808957047818565,0.23928485935053834,0.2235922347073017,0.21136556480671237,0.20251185116888493,0.19671757902147727,0.19368851697756798,0.19327578784123592,0.19560226103955317,0.2011869348157655,0.21053308341726076,0.223564005613897,0.23922800829652513,0.25525521508755855,0.2685166634754704,0.27581662738311663,0.2744136599470437,0.2624473481953784
CONTRA,ASYM,SYM,0.07535313688291442,id,arm_add_moment,sd,0,2.795020136982481,3.3242925014084794,2.1356262479421506,2.247357060329702,0,0.13455189118358768,0.1389178260759346,0.1365718960384839,0.12920601865214998,0.1198528359541287,0.1107670648965263,0.10299798015864399,0.09687601915380302,0.0925942444706874,0.09021642501713241,0.0895222577228602,0.09005020671712823,0.09152446106245168,0.09421996871359334,0.09865108812266525,0.10500038290584755,0.11268753852209386,0.12042011963808467,0.1270314842563232,0.13220582051770172,0.13595131488621304,0.137700723759713,0.13658422058045971,0.13254733913152808,0.12667160434908942,0.1203924755393817,0.11503294765304434,0.11193201030005996,0.11212930201201804,0.11602024218266033,0.12348286454247677,0.13377695294799063,0.14572342387116016,0.15856305174989976,0.17229628805972796,0.18682790644413003,0.2007492132492689,0.2104411539002114,0.21323471720517936,0.2092587623953178,0.19981851734645917,0.18735002825889358,0.1749242175235225,0.1646955960186173,0.15685108200914744,0.15040477793913154,0.14530035640611438,0.14181309187170457,0.13928122346119765,0.13699567281199732,0.1348722395985062,0.1331151110528929,0.1316468662102716,0.1300136774287239,0.12794296271722633,0.12550210705285605,0.12286389947946703,0.12011423883513488,0.11751845572565539,0.11554508265276789,0.11462273422545483,0.11538241067684026,0.11869283232312483,0.1251400155784714,0.13433171214556605,0.14455124356796534,0.1536190062652105,0.15981017018930166,0.16224518558620143,0.1619738226398267,0.16201392112375285,0.16493108455166333,0.17037461499035242,0.17497286770062845,0.17608767195280134,0.17450187528209843,0.17175645474921183,0.16740558041252523,0.1596088204973943,0.14730276543478668,0.13206404604421773,0.11730101373110932,0.10490652836539507,0.09484467423109325,0.08716840804551436,0.08191146933565568,0.0787647322700256,0.07755328135819453,0.07821193358832752,0.08064790011690247,0.08466981236591094,0.08998037449400584,0.09640769219161668,0.10472075078645113,0.11625251039573647,0.1310541551795825,0.14710109150925577,0.16106795219345207,0.16927075388155852,0.16849329049510456,0.15705292913770544
CONTRA,ASYM,SYM,1.7623333333333333,id,arm_flex_moment,mean,0,28.86888888888889,39.18666666666667,68.74444444444444,77.31555555555556,101,0.2141894822222569,0.226082030476736,0.23668023164259036,0.2435038322199611,0.24397195133588034,0.23670040170561454,0.22234258537263066,0.20353705872867903,0.1840203255447315,0.16733388970595567,0.15584794546677275,0.15042099749099663,0.1506316065761143,0.15548474470736887,0.16370285843856766,0.17393285445824144,0.18516726977685716,0.19684415908398725,0.20868480786868374,0.22062794301172944,0.23267892062313686,0.24458111527425547,0.2560073508428696,0.26677042383733574,0.2765407208618825,0.28489725863207677,0.2914952774114679,0.2962499270240392,0.2994114355848587,0.30123932569205414,0.30160124730083526,0.29950464514433295,0.2929181460177997,0.2804733133279022,0.26398691540767494,0.24741160643065893,0.23276492837716956,0.21840325070802533,0.20125408369595174,0.18017944785306686,0.15732939662221904,0.13653699996492624,0.12083070941857586,0.11132258691060413,0.10766223444571603,0.108908653561159,0.11392094441136347,0.1210979712001691,0.12845565649360588,0.13438736154663644,0.13828318186785674,0.14035423223497606,0.14132103441423902,0.14215711303203185,0.1437332223379379,0.14649027775409731,0.15023307260085933,0.15419695494132915,0.15782258326385926,0.16122711334463033,0.16493440657837705,0.169714445540149,0.17639912488705778,0.18551020590773368,0.1967637805584183,0.2088643928477843,0.21961407040301273,0.2261954024839057,0.22626284699670882,0.21939049046752462,0.20755564333375523,0.19410381945295188,0.18255760642520596,0.17559491912845876,0.1734224896628222,0.17326768500605635,0.17194510381588846,0.16819774292130826,0.16262087420486943,0.1562945641587449,0.14979904204088715,0.14318464017174296,0.13628224014500534,0.12911425968004045,0.1221611356156089,0.11605329135880871,0.11150950757632097,0.1096072911750807,0.11131229795477823,0.11696602543013974,0.12639733646967585,0.13938825920639114,0.15563514425996905,0.1750230138562969,0.1976012751403304,0.22255418651772738,0.24755415382801002,0.26848075588817544,0.2794802906142343,0.2743438857525428,0.24977457464057065
CONTRA,ASYM,SYM,0.07535313688291442,id,arm_flex_moment,sd,0,2.795020136982481,3.3242925014084794,2.1356262479421506,2.247357060329702,0,0.08819039018875204,0.08997970093397929,0.09272139741068688,0.09492619636453727,0.09550053742933454,0.0935898282598774,0.08895912109551797,0.08213290294862509,0.07407587069088396,0.06609112851588066,0.05951947123544672,0.055361221179341294,0.05394213589153339,0.05468699177064533,0.05649126788120918,0.05839559618603227,0.06004336287695932,0.06174258182997083,0.06379204464506157,0.06581084735337879,0.0672722184147108,0.06837530853107628,0.0698534108764742,0.0721551880561882,0.07545245300602871,0.07993527933876156,0.085735507920926185,0.09213474832440134,0.09728765671565086,0.09933169714133125,0.09786600835430798,0.09408303420301896,0.08940449380025782,0.08484899051166417,0.08401359419586676,0.0906804407638031,0.10207360567981298,0.11313718485370408,0.12214899865523758,0.12920000552005326,0.13318418346051922,0.13202455558434456,0.12497457096102264,0.11379360041854121,0.10143111694357641,0.0901545319463007,0.08083874980960196,0.07363353661681177,0.06859869590567008,0.06612119374804183,0.06631930957221673,0.06805660208689107,0.06966953052642065,0.0703479285091569,0.07029776689826067,0.0700417958638038,0.06959343639539385,0.06855060990523111,0.06672020148465763,0.0646167341898394,0.0634974198574706,0.06481837751754971,0.06894144526759095,0.07438045026165739,0.07918669325739476,0.08230543478256032,0.0830342404173772,0.08134816569695856,0.08107531418736703,0.08949060389084801,0.10487731618246118,0.11503337608107171,0.11228931854127945,0.10010339338904385,0.0865873554775798,0.07617896150638823,0.06975725360184358,0.06779498018384891,0.06932574457185539,0.07220727070244935,0.07472178480130133,0.07567004791417209,0.07470571649445303,0.07241111393368159,0.06971436303309408,0.06835939420056873,0.0705003316751886,0.07678348449411967,0.08590058424990822,0.0957152530738348,0.10429191984808536,0.11056864143548613,0.11555910714694928,0.12109213633716405,0.12835031101741373,0.13828156901689206,0.1503991169589562,0.16103417639049541,0.16356511089682357,0.15058316530584806,0.11834210044704876
CONTRA,ASYM,SYM,1.7623333333333333,id,arm_rot_moment,mean,0,28.86888888888889,39.18666666666667,68.74444444444444,77.31555555555556,101,-0.08035979804938415,-0.08565986685811881,-0.0882064261595357,-0.08722043171358733,-0.08270661429239583,-0.07589939037087197,-0.06889771764054678,-0.06347466131995037,-0.06033905397621448,-0.059162922272565505,-0.05909811718649167,-0.05939490279783193,-0.059852567456965114,-0.060806680555300696,-0.06247574787217514,-0.06456656709732177,-0.06676554719604005,-0.06905578269618358,-0.07150852416230719,-0.07411987740411935,-0.07685431311698653,-0.07964871468811406,-0.0824290190421559,-0.08504826787012994,-0.08716324879309836,-0.08817609572424204,-0.08739808348202707,-0.08465562361982121,-0.08049115124182116,-0.07566349989948415,-0.07072953022795712,-0.06574723166289993,-0.06035300161565942,-0.0546738531026102,-0.04995406857479453,-0.047624735435072486,-0.04777190893781706,-0.04889876718925341,-0.04895492388196419,-0.046660028190577574,-0.042442151549804324,-0.03782111791142329,-0.03393740283184566,-0.031084876946380617,-0.029150900063985543,-0.028175884959209252,-0.028348448929582406,-0.02961199700895278,-0.03150299685230878,-0.03359568028131423,-0.03590848998517381,-0.038756390865363206,-0.042454381882939686,-0.04708299742745377,-0.05238069300681868,-0.057872696087772235,-0.06298904098724586,-0.06718559547429535,-0.07026481808789782,-0.07250647198420851,-0.07451567386301192,-0.07711898358078645,-0.0810970423457868,-0.08675815468046753,-0.09366455522300372,-0.10072000687522303,-0.10653066397782368,-0.10972111066860829,-0.10911041399468785,-0.1038272275230598,-0.09340486115478955,-0.07797222511755067,-0.05886470901662614,-0.038844583401427164,-0.021195024823797294,-0.008300335772392848,-0.0011270631362808716,3.747964760308907e-4,-0.003011367090362464,-0.009804259005010935,-0.018155495567467997,-0.02648174256772049,-0.03380347273846073,-0.03980550691837374,-0.04458649815160532,-0.04830472003621821,-0.05122303038068974,-0.05383360700681186,-0.056659284201836746,-0.05997288944375753,-0.06377899011638319,-0.06807760025306316,-0.07309125026347504,-0.07938381892345418,-0.08748250235099778,-0.09731963111212404,-0.10801006457930366,-0.11752341209832463,-0.12230843697149366,-0.11804102325464591,-0.10213636926113749
CONTRA,ASYM,SYM,0.07535313688291442,id,arm_rot_moment,sd,0,2.795020136982481,3.3242925014084794,2.1356262479421506,2.247357060329702,0,0.050157435946803344,0.053799816735315364,0.055143002302640284,0.054140331206767776,0.051431799507881897,0.04769213220100338,0.04357673512256479,0.03988068869811984,0.037335518704806905,0.036126508698241654,0.035810870816036754,0.03574190702809265,0.03536246229042576,0.034404596782865456,0.03308422977628703,0.031979372004934836,0.03158159800352776,0.03217330347040071,0.033633459510443026,0.0353982376593646,0.036956182077711425,0.03840905958353582,0.04033540154611519,0.04303883827062386,0.046199814310726554,0.04919707338396229,0.051533175091265766,0.05289946657347255,0.05292815057957285,0.0513437217353673,0.04886848491816275,0.04740058969903873,0.04802559398220057,0.050126615375321225,0.05267570193110697,0.05522918142903206,0.05813617775435938,0.06132960011893614,0.06376120259977866,0.06404643222743417,0.06153257819077518,0.05667029095331583,0.05043643311105477,0.044383063131485545,0.040127642599818505,0.03780674425293969,0.03632214624717893,0.03495752816410227,0.03395649354078536,0.03393096683028833,0.03484822452475449,0.03593732569606348,0.0366526157827456,0.03719688608980373,0.03811761317764211,0.03959360785106102,0.0412654518176642,0.04266394280438623,0.04346044825517662,0.04355929986648689,0.043261060716650146,0.043173488965862074,0.0438171099378933,0.04542824806426169,0.04785609075301421,0.05026147768424624,0.05119984405239823,0.04962943645486794,0.046330608406361086,0.04409701983633729,0.04530188418545474,0.04865392823610503,0.05050512064623071,0.04867690599981237,0.04399303248889002,0.03985297248973739,0.03995691011357649,0.04433499736501422,0.0492254090164298,0.05127708095522791,0.049621376246048086,0.04527248071497676,0.03994476052656636,0.035150191187972996,0.031701226257065916,0.029877181638868325,0.029613536850474742,0.03036278402334416,0.031374953177997045,0.03220269948930448,0.032795438057501534,0.033404772751783454,0.03471119082041647,0.037340551257724244,0.04151797749463993,0.047081463143757274,0.05311330748093394,0.0578864409745315,0.05947869759233769,0.056619776753226096,0.049463302152532335
CONTRA,ASYM,SYM,1.7623333333333333,id,elbow_flex_moment,mean,0,28.86888888888889,39.18666666666667,68.74444444444444,77.31555555555556,101,0.136684059811515,0.1374883145837028,0.1400998278579895,0.1422702314837876,0.14204745502927235,0.1385761367043901,0.13252337926906874,0.12553456621757822,0.11922518663603184,0.11442958417886108,0.11111407010932993,0.10889842141093849,0.10759368959326743,0.10726756040574922,0.10777915776025561,0.10847131193717006,0.10886191541271567,0.10902255124898813,0.10917089436402799,0.10943016690022737,0.10981272176292126,0.11031111978434958,0.1110243699572788,0.11212960777340894,0.11381812380854157,0.11620105499546314,0.11924709236407728,0.12322088898803105,0.12900103131639135,0.13768672379711203,0.14982758341776845,0.16463541624203434,0.18039223087538878,0.19551270166231288,0.20859667153144396,0.2182605120010247,0.22306522200078677,0.22178843652308156,0.214204142013695,0.2017917258410451,0.18744121589841045,0.17405001891214203,0.16318404258201125,0.15480456609881432,0.1482919002473862,0.1433491472070276,0.1400401422239273,0.13839248763117135,0.13816341113808125,0.13895420635037858,0.14027536359591455,0.14163565750978727,0.14268676468707633,0.1433107408029823,0.1435104388237354,0.14323205877472653,0.14238228534523684,0.14097236304583172,0.13909400392193033,0.1368863753267803,0.1346962063448536,0.13311046327468148,0.13287735523783742,0.1347332972538946,0.13901881590273765,0.1453172489306094,0.152689368613367,0.16024490605644598,0.16736570310387605,0.17367137303119223,0.17890739672104666,0.18275456752042354,0.18452984108964454,0.18299393915714265,0.17719879685787826,0.16793740111890065,0.15764738690594493,0.14880538902057303,0.14241161969080562,0.13793644985215606,0.1344097455688685,0.13129667191916192,0.12853215707753068,0.12608648157114583,0.12378608491528374,0.12130860685423134,0.11843801365991649,0.11531942804177078,0.11227362000033153,0.1095736077535617,0.10756145431418397,0.10668077400971664,0.10725813589876212,0.1094538699723876,0.11335550023533097,0.11895626359482571,0.1261624931937629,0.13468197312441993,0.14367526360433852,0.15143831070017277,0.1556988056380869
CONTRA,ASYM,SYM,0.07535313688291442,id,elbow_flex_moment,sd,0,2.795020136982481,3.3242925014084794,2.1356262479421506,2.247357060329702,0,0.025320768499043817,0.02794816683546985,0.028730826929028733,0.028083089037984333,0.02685702565397221,0.0255352775956904,0.02438384799117826,0.023632906344457708,0.023155967552001847,0.02260378250568614,0.021847807881950884,0.021167409105241793,0.020879695231322052,0.020848088161859863,0.02084991648270236,0.02088515548024455,0.021256407478561435,0.022604856867038416,0.0249288587004038,0.02759282313641276,0.030007387096808818,0.031711293412467915,0.032346088308901344,0.03216780159801843,0.032646658503767974,0.035498777310392866,0.040175119245612595,0.04445112257322854,0.04733714335155057,0.049721996388040854,0.05275786374456763,0.05540126577821434,0.05525668239089987,0.051577964981498046,0.04598470164910898,0.04315380306705615,0.0472945462899314,0.05487623756056053,0.058948821767103574,0.05635706195346409,0.04886586437994502,0.04061528144206586,0.03456510410879038,0.031117812902348548,0.029277270701566622,0.027925002718073758,0.026227248144829598,0.023855578573124345,0.02149204559524782,0.020300886367883433,0.020105137157296702,0.019674565841806158,0.01880799349194761,0.01873672205227769,0.020441642571578097,0.02316158735894718,0.025801113578121385,0.028056288204796078,0.029799467043984902,0.03062178599637942,0.03022986219379545,0.028891808389296954,0.027610029327404383,0.027787528369900928,0.030305882111077286,0.03494705195045143,0.04064768333241365,0.04602129355322335,0.04983775703580575,0.051569682390521183,0.05142610624416226,0.04944632053545748,0.04551281967709433,0.04064775503878125,0.03698486044321665,0.03615803498590039,0.03752368185517696,0.039015129605882416,0.03949295865948715,0.038864394457067096,0.03711588315127627,0.03426920074786446,0.030886694552724567,0.02764261346532693,0.024639755651724448,0.02190569103768634,0.020034836874599893,0.0196894403995018,0.020712039687807906,0.022124964428458786,0.0229704981672448,0.022969144906745526,0.022625344829870404,0.022576463826510896,0.023425798633461666,0.025731490850341685,0.02945040130418106,0.03350638480777699,0.03599117375774855,0.03476215713359497,0.028988609441175876
