data_limb,ipsi_limb,contra_limb,analysis,variable,statistic,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101
IPSI,SYM,ASYM,id,wrist_dev_moment,sd,0.082363333,0.091557614,0.12213633,0.240579268,0.51684799,0.776201832,0.740340258,0.504683585,0.258521065,0.119602382,0.076047043,0.06897935,0.068607099,0.059010012,0.057656798,0.063228719,0.064464023,0.064428551,0.066387738,0.069577011,0.072914322,0.076872296,0.081949023,0.087630634,0.092963797,0.097488695,0.101697354,0.106644828,0.113863132,0.121039594,0.126261903,0.128692719,0.128923173,0.127994799,0.126783031,0.126325013,0.126491486,0.125355451,0.120070175,0.109731167,0.09682106,0.085403347,0.078111644,0.074485259,0.072619559,0.071601647,0.070996236,0.069047075,0.066236357,0.072386156,0.097901687,0.142979644,0.206259233,0.247792825,0.167740153,0.067359447,0.08622359,0.068593901,0.066884308,0.066501274,0.065614253,0.064986429,0.065349988,0.066501231,0.068339913,0.070944698,0.074207877,0.077794945,0.081408467,0.084849953,0.088073626,0.091228397,0.094230306,0.09658056,0.098154901,0.099141604,0.099233717,0.098028573,0.095701365,0.092981367,0.090547819,0.088649476,0.087557948,0.0872324,0.087092499,0.087182933,0.088112632,0.088558074,0.085036449,0.079816207,0.093338457,0.142213523,0.21142874,0.275455074,0.287591607,0.182907731,0.09151566,0.134275967,0.111904006,0.097439899,0.088592174
IPSI,SYM,ASYM,id,wrist_flex_moment,mean,0.099029696,0.097625034,0.099471469,0.106319634,0.118759921,0.124211151,0.108577341,0.090738171,0.08685031,0.090266558,0.094244201,0.096823415,0.0974712,0.096258661,0.093383278,0.089382006,0.085080712,0.081025756,0.077365805,0.073985118,0.070681982,0.067458086,0.064491326,0.061938866,0.059949809,0.058813896,0.059102457,0.061932719,0.069159888,0.080639229,0.094089283,0.107909805,0.121196091,0.133313411,0.143877845,0.152540482,0.158682192,0.161520899,0.160661418,0.156532394,0.150287262,0.143114863,0.135961188,0.129609674,0.124687625,0.121581961,0.120225216,0.119944447,0.119750126,0.118840994,0.117113432,0.115874689,0.117783772,0.124296673,0.133361935,0.141512776,0.14398654,0.138443778,0.127968243,0.11597757,0.104562379,0.094916746,0.087273787,0.081381932,0.077314005,0.075922319,0.078658231,0.086849948,0.100774136,0.119054919,0.138796788,0.156442714,0.168798245,0.17403935,0.172394905,0.165773697,0.156736628,0.147550728,0.139232279,0.131583206,0.124281715,0.117402838,0.111169779,0.105741689,0.101183221,0.097446872,0.094333023,0.091570419,0.088903439,0.086128824,0.083440452,0.081905456,0.083555602,0.090476702,0.102407395,0.116151932,0.129807933,0.140131905,0.142138568,0.136695731,0.126732344
IPSI,SYM,ASYM,id,wrist_flex_moment,sd,0.225552897,0.34654081,0.45537301,0.473160916,0.36365863,0.242147081,0.111249386,0.409725574,0.475136134,0.350512303,0.181506182,0.059450844,0.063696945,0.07799663,0.068090844,0.055027979,0.050201695,0.050103495,0.050248571,0.050674336,0.052066273,0.054123822,0.05610976,0.057467079,0.05842706,0.059942753,0.064138202,0.071794168,0.076352138,0.087981677,0.102959091,0.111393768,0.114451328,0.112651949,0.107158995,0.10095414,0.096349461,0.092710471,0.088295691,0.083215639,0.078652151,0.075183605,0.072645928,0.070754539,0.069749119,0.070396184,0.072407555,0.07175032,0.064720919,0.072915281,0.128126058,0.191633472,0.201126334,0.126303322,0.072968737,0.202916985,0.286371216,0.261044329,0.17904842,0.099162432,0.061311823,0.064975084,0.067781143,0.063532721,0.060472493,0.062860875,0.069706098,0.078997461,0.089089085,0.098372598,0.104672517,0.106306519,0.104888918,0.104231337,0.105188738,0.105407154,0.103187764,0.098984985,0.093983344,0.088513549,0.082398513,0.075849664,0.069481987,0.063918499,0.059565192,0.057089296,0.056838768,0.05769419,0.057430938,0.056551041,0.064735716,0.088586781,0.107251895,0.093024241,0.071770326,0.10457429,0.17354301,0.247272702,0.255884528,0.206468609,0.139172976
IPSI,SYM,ASYM,ik,ankle_angle,mean,3.257802729,3.104095156,3.466891963,3.834649059,4.014465384,3.879335898,3.346793086,2.374754683,0.955022545,-0.811953774,-2.831433543,-4.961458755,-7.071196614,-9.070207197,-10.87618955,-12.46018777,-13.80117329,-14.91704799,-15.82787223,-16.58823146,-17.2371591,-17.76388658,-18.13311254,-18.36409305,-18.45472625,-18.36976056,-17.9712829,-17.18432686,-16.19544668,-14.85141591,-13.2676286,-11.45848704,-9.438868618,-7.361085105,-5.553512878,-4.110278296,-3.127635992,-2.50090178,-2.185643678,-2.12538691,-2.272643241,-2.617092608,-3.124138508,-3.76698535,-4.495089772,-5.282443943,-6.076910033,-6.863888664,-7.602867909,-8.271760819,-8.875897023,-9.400268477,-9.832752372,-10.166301,-10.41557968,-10.57397236,-10.64786859,-10.66202963,-10.60201509,-10.4821349,-10.32038243,-10.13026898,-9.946933715,-9.812399067,-9.722130155,-9.68997612,-9.769855482,-9.983262902,-10.34664169,-10.8614567,-11.48719261,-12.11620085,-12.60352799,-12.94514601,-13.08430817,-12.87742915,-12.17823428,-10.97663698,-9.313625109,-7.271338429,-5.039526657,-2.774462564,-0.55109302,1.497184664,3.233028254,4.577780127,5.441808991,5.83747741,5.842026076,5.465832986,4.6984916,3.5720251,2.138340689,0.486974013,-1.152705331,-2.515881427,-3.337714501,-3.611253196,-3.518246295,-3.181561321,-3.196012729
IPSI,SYM,ASYM,ik,ankle_angle,sd,3.772811149,4.169420269,4.37595061,4.46394701,4.518843977,4.567137977,4.651695781,4.867437507,5.30424512,5.887833126,6.445146984,6.90254978,7.295067917,7.652515318,7.982088995,8.281894832,8.574345431,8.862767915,9.09852256,9.369461167,9.677292437,9.987012468,10.31012997,10.60108944,10.89084047,11.15840369,11.33623621,11.36924771,11.44565134,11.34615791,10.89594036,10.11349579,9.252773091,8.174317868,7.179141762,6.078625562,5.384315041,5.126390899,5.017495631,4.897138754,4.88473685,4.988677057,5.101428311,5.166967283,5.193303274,5.171817272,5.135508152,5.089637256,5.024644999,4.96812378,4.920836248,4.859336963,4.804706304,4.781008615,4.784295694,4.816941173,4.879792953,4.952588868,5.044096257,5.166887702,5.295523057,5.41251367,5.538320813,5.66989333,5.830375202,6.012945007,6.235400223,6.507632054,6.825275599,7.190357451,7.570215763,7.882320813,8.072612918,8.250567179,8.444853212,8.62822205,8.766067124,8.893799169,9.052820034,9.087020698,8.956238661,8.806198623,8.59527618,8.224667727,7.806481043,7.366082802,6.933662031,6.52655429,6.191464014,5.993119762,5.933529794,5.97880879,6.026689024,5.991416076,5.828507833,5.593829886,5.39138102,5.140098683,4.895585395,4.719794637,4.584491848
IPSI,SYM,ASYM,ik,arm_add,mean,8.622336264,8.646561445,8.615165819,8.545434186,8.474120792,8.424767351,8.395249243,8.425241563,8.462449796,8.508110106,8.563335905,8.616746989,8.661197231,8.687656697,8.697939917,8.696510453,8.690822179,8.68117414,8.667420819,8.65027255,8.628160718,8.607165249,8.582507601,8.55250503,8.524073373,8.491871029,8.453281574,8.401771769,8.314442828,8.210561555,8.099611681,7.981269933,7.858190026,7.749606681,7.667367305,7.594640396,7.530202646,7.490332369,7.508435507,7.571848246,7.652208667,7.734855662,7.798421155,7.843236371,7.879873381,7.901366361,7.920254367,7.935817888,7.936772403,7.927013208,7.906964596,7.872339712,7.823901764,7.775017351,7.727633654,7.65801296,7.589924201,7.549009258,7.504709729,7.464451886,7.430339438,7.406002935,7.389005625,7.384141293,7.393088322,7.418569022,7.461139386,7.516607478,7.589676284,7.674551003,7.748179254,7.786706641,7.788721226,7.767778558,7.724528899,7.667046436,7.598944112,7.539347791,7.470788567,7.39026158,7.304858212,7.223220266,7.152972603,7.11000088,7.096594902,7.116912432,7.161426341,7.222525124,7.300326883,7.380990771,7.488830381,7.614532328,7.761162548,7.933165004,8.114046915,8.295885988,8.442269434,8.565692528,8.622010029,8.60946526,8.540472586
IPSI,SYM,ASYM,ik,arm_add,sd,8.176676026,8.1763199,8.162533419,8.139514318,8.115547021,8.097427731,8.102642056,8.147562418,8.140908977,8.154754438,8.16602701,8.181353866,8.192930929,8.21137019,8.229813642,8.240613726,8.244096414,8.243506889,8.242399769,8.239838408,8.237405803,8.233393082,8.222173714,8.205584342,8.192119732,8.180225402,8.173008171,8.161126135,8.13778609,8.131479656,8.129468029,8.140989979,8.155209835,8.189851705,8.24417547,8.330284738,8.445499958,8.540871747,8.563990763,8.533525962,8.480294339,8.423530837,8.394004616,8.399587854,8.429502739,8.476227458,8.524570716,8.571877538,8.62746774,8.682817037,8.743257534,8.818621319,8.905803265,8.99251438,9.075134756,9.164710144,9.263227913,9.309938137,9.344274894,9.353808363,9.360706988,9.358660097,9.354067285,9.341517409,9.320294474,9.290159664,9.247412207,9.190709251,9.113409568,9.009867127,8.884551354,8.753131042,8.634477778,8.544120045,8.496786798,8.486629852,8.510122979,8.540252658,8.581300153,8.626724931,8.659699596,8.68245578,8.704215725,8.717970384,8.730221436,8.733807042,8.743365602,8.747438763,8.733358034,8.739130589,8.72661767,8.717228824,8.708616879,8.683830802,8.66911244,8.64881081,8.645678404,8.613951039,8.581867181,8.548818763,8.515726957
IPSI,SYM,ASYM,ik,arm_flex,mean,29.62070202,29.51450424,29.36269027,29.21912293,29.1342455,29.1122759,29.18033651,29.27942816,29.38378191,29.4777734,29.54418917,29.57765276,29.57898563,29.56976822,29.51735918,29.43128931,29.33757078,29.23074547,29.11834752,29.00124721,28.8812774,28.75526475,28.63052139,28.51633717,28.41555802,28.3376237,28.28255589,28.27284402,28.29792781,28.37925279,28.54504946,28.72429529,28.88747528,29.02593808,29.15164419,29.2709218,29.39811086,29.51897938,29.65053769,29.77139897,29.88114852,29.97934625,30.06413156,30.16589886,30.27908581,30.3769745,30.4679668,30.54351598,30.59511814,30.62954065,30.65208236,30.65936595,30.65154482,30.63676108,30.61636254,30.57462558,30.53995789,30.53937567,30.53160582,30.53830063,30.54711157,30.56189218,30.57213735,30.58513465,30.58065015,30.56936058,30.55850872,30.54793408,30.56980633,30.65601103,30.81291969,31.06203709,31.40512361,31.80375233,32.20547135,32.55772697,32.81202925,32.94339086,32.95736497,32.89260958,32.77189779,32.64240425,32.52894514,32.43752103,32.36586214,32.30325573,32.22821273,32.11753273,31.97165302,31.78455565,31.5597276,31.29421541,30.99682069,30.67575321,30.33221064,29.96167537,29.54392502,29.23602476,28.98678657,28.79727247,28.66274658
IPSI,SYM,ASYM,ik,arm_flex,sd,14.0057901,13.9769223,13.94824271,13.94355689,13.96968052,14.04124636,14.1504671,14.2814253,14.41090026,14.53453491,14.64681707,14.74731393,14.83619654,14.84975733,14.92230155,15.04820405,15.16568059,15.29717488,15.43193649,15.5669867,15.69861244,15.82812471,15.95821862,16.08879303,16.23310149,16.38718959,16.55892269,16.73834273,16.93549206,17.15793344,17.40525878,17.63724609,17.81855621,17.95353468,17.99593943,17.94315871,17.78111819,17.5522207,17.25569138,16.98085825,16.78701645,16.68727633,16.69098487,16.73598368,16.76973181,16.81194282,16.80132303,16.76681684,16.72571031,16.66307382,16.57525486,16.47295082,16.37007316,16.22987582,16.05937405,15.88875686,15.71302365,15.51719854,15.34429594,15.18636984,15.06777173,14.96678109,14.91062826,14.88490463,14.87533293,14.85735852,14.84814241,14.85298557,14.83986009,14.82037954,14.83305755,14.86019374,14.93936163,15.05301109,15.19132832,15.32080555,15.43919968,15.53958627,15.62942021,15.71778207,15.80916569,15.90332765,16.00545969,16.10401722,16.20077564,16.28872824,16.37404251,16.46943263,16.56067473,16.6591433,16.75183368,16.85195464,16.95714148,17.04963122,17.1456358,17.23265317,17.36182978,17.42509418,17.50685844,17.61028099,17.69804257
IPSI,SYM,ASYM,ik,arm_rot,mean,56.78096009,56.76518861,56.73991093,56.72802957,56.71047477,56.77787067,56.54751406,56.65069094,56.70671844,56.68519511,56.67477032,56.65053934,56.61212458,56.57624979,56.55056407,56.53083765,56.50995269,56.49407371,56.48250989,56.47775251,56.4833921,56.48924079,56.50580389,56.52385278,56.54360447,56.57829178,56.61277535,56.64861698,56.72076893,56.8422417,56.96748266,57.10092059,57.20736511,57.31092581,57.37112478,57.40390267,57.4054507,57.4068582,57.32045834,57.25818468,57.17809774,57.09958862,57.07804736,57.08002235,57.08850037,57.12688999,57.18138314,57.22091964,57.27066883,57.29653016,57.29568437,57.31023395,57.33118667,57.34061758,57.33905149,57.36791876,57.41232243,57.43888069,57.48109763,57.52730338,57.58389403,57.64195234,57.70254434,57.76739524,57.82151087,57.88073511,57.93553421,57.96910539,58.00186098,57.9957269,57.99808896,58.01567107,58.07929381,58.18011764,58.33852509,58.49139482,58.63095677,58.71191211,58.74563424,58.73202516,58.65559242,58.5421094,58.41718123,58.26767028,58.1113412,57.92986076,57.74472027,57.54568835,57.3204296,57.15414063,56.9599307,56.76216975,56.56688072,56.34108334,56.16328215,55.99072354,55.89900115,55.75555422,55.66618876,55.62935665,55.6027531
